,bezeichnung_kldb,median_brutto,average_brutto,code_kldb
821,63213 Hotelkaufleute - Spezialist,5228,4880,63213
822,63221 Hotelservice - Helfer,2439,2495,63221
823,63222 Hotelservice - Fachkraft,2719,2790,63222
824,63293 Aufsicht - Hotellerie,2943,3282,63293
825,63294 Führung - Hotellerie,4121,4818,63294
826,63301 Gastronomieservice (o.S.) - Helfer,2412,2508,63301
827,63302 Gastronomieservice (o.S.) - Fachkraft,2510,2678,63302
828,63303 Gastronomieservice (o.S.) - Spezialist,2815,2914,63303
829,63312 Systemgastronomie - Fachkraft,2617,2765,63312
830,63313 Systemgastronomie - Spezialist,4858,4907,63313
831,63322 Barkeeper/innen - Fachkraft,0,,63322
832,63382 Gastronomie (s.s.T.) - Fachkraft,2711,2817,63382
833,63383 Gastronomie (s.s.T.) - Spezialist,3050,3331,63383
834,63393 Aufsicht - Gastronomie,2676,2752,63393
835,63394 Führung - Gastronomie,3914,4118,63394
836,"63401 Veranstaltungsservice,-manag. - Helfer",2610,2777,63401
837,"63402 Veranstaltungsservice,-manag. -Fachkraft",3273,3543,63402
838,"63403 Veranstaltungsservice,-manag.-Spezialist",3792,4194,63403
839,"63404 Veranstaltungsservice,-manag. - Experte",4361,4750,63404
840,71104 Geschäftsführer und Vorstände - Experte,7500,9132,71104
841,71214 Angeh. gesetzgeb. Körperschaften-Experte,0,,71214
842,71224 Leit. Bedienstete Interessenorga-Experte,6307,6542,71224
843,71234 Betriebsinterne Wahlämter - Experte,5101,5501,71234
844,"71302 Kaufm.,techn.Betriebswirt.(oS)-Fachkraft",3982,4491,71302
845,"71303 Kaufm.,tech.Betriebswirt.(oS)-Spezialist",5070,5508,71303
846,"71304 Kaufm.,tech.Betriebswirtsch.(oS)-Experte",7021,7412,71304
847,"71314 Unternehmensorganisation,planung-Experte",5439,5724,71314
848,71324 Unternehmensberatung - Experte,6461,7525,71324
849,71333 Wirtschaftsförderung - Spezialist,4590,5127,71333
850,"71382 Unternehmensorg.,strateg.(ssT)-Fachkraft",4434,5312,71382
851,"71383 Unternehmensorg,strateg.(ssT)-Spezialist",6834,7438,71383
852,"71384 Unternehmensorg.,-strategie(ssT)-Experte",6641,7472,71384
853,"71393 Aufsicht - Unternehmensorg.,-strategie",5805,6325,71393
854,"71394 Führung - Unternehmensorg., -strategie",7591,8427,71394
855,"71401 Büro-, Sekretariatskräfte(o.S.) - Helfer",2663,3062,71401
856,"71402 Büro-,Sekretariatskräfte(o.S.)-Fachkraft",3455,3895,71402
857,"71403 Büro-,Sekretariatskräfte(oS) -Spezialist",4329,4695,71403
858,"71412 Fremdsprachensekr.,korrespond.-Fachkraft",0,,71412
859,"71413 Fremdsprachensek.,korrespond.-Spezialist",3625,4090,71413
860,"71423 Dolmetscher, Übersetzer - Spezialist",3122,3572,71423
861,"71424 Dolmetscher, Übersetzer - Experte",3290,3590,71424
862,"71432 Steno-, Phonotypisten - Fachkraft",3446,3856,71432
863,"71433 Steno-, Phonotypisten - Spezialist",0,,71433
864,"71442 Kodierer, Korrekturleser - Fachkraft",3838,4040,71442
865,"71452 Auskunft, Kundeninformation - Fachkraft",3000,3245,71452
866,71493 Aufsicht - Büro und Sekretariat,4000,4568,71493
867,"71512 Personalentwick.,sachbearbeit.-Fachkraft",4143,4416,71512
868,"71513 Personalentwick.,sachbearbeit-Spezialist",4968,5335,71513
869,"71514 Personalentwickl.,-sachbearbeit.-Experte",5250,5909,71514
870,71522 Personaldienstleistung - Fachkraft,3524,3935,71522
871,71523 Personaldienstleistung - Spezialist,4260,4703,71523
872,71524 Personaldienstleistung - Experte,4731,5197,71524
873,"71594 Führung - Personalwesen, -dienstleistung",7870,8858,71594
874,72112 Bankkaufleute - Fachkraft,4869,5541,72112
875,72113 Bankkaufleute - Spezialist,5537,6191,72113
876,"72122 Anlageberater, Finanzdienstl.-Fachkraft",4902,5392,72122
877,"72123 Anlageberater, Finanzdienstl.-Spezialist",6396,7550,72123
878,"72124 Anlageberater, Finanzdienstl.-Experte",7000,8614,72124
879,72132 Versicherungskaufleute - Fachkraft,4477,4750,72132
880,72133 Versicherungskaufleute - Spezialist,4922,5420,72133
881,72134 Versicherungskaufleute - Experte,6473,7004,72134
882,72144 Finanzanalysten/innen - Experte,6399,7022,72144
883,"72182 Versicher-,Finanzdienstl.(ssT)-Fachkraft",4456,4792,72182
884,"72183 Versicher,Finanzdienstl.(ssT)-Spezialist",4542,4892,72183
885,"72184 Versicher-,Finanzdienstl.(ssT)-Experte",7422,8539,72184
886,"72194 Führung-Versicherung-,Finanzdienstleist.",6808,8502,72194
887,72212 Buchhaltung - Fachkraft,3520,3863,72212
888,72213 Buchhaltung - Spezialist,3959,4304,72213
889,72214 Buchhaltung - Experte,6438,7367,72214
890,"72223 Kostenrechnung, Kalkulation - Spezialist",4584,5040,72223
891,"72224 Kostenrechnung, Kalkulation - Experte",5733,6441,72224
892,72233 Controlling - Spezialist,5236,5618,72233
893,72234 Controlling - Experte,5724,6201,72234
894,72243 Wirtschaftsprüfung - Spezialist,4375,4885,72243
895,72244 Wirtschaftsprüfung - Experte,6440,7632,72244
896,"72294 Führung-Rechnungsw.,Controlling,Revision",7988,9135,72294
897,72302 Steuerberatung - Fachkraft,3350,3545,72302
898,72303 Steuerberatung - Spezialist,4167,4703,72303
899,72304 Steuerberatung - Experte,6838,7679,72304
900,"73104 Rechtsberatung,-sprechung (oS) - Experte",7015,7675,73104
901,"73112 Assistenz Rechtsanwalt.,Notar.-Fachkraft",3050,3223,73112
902,"73113 Assistenz Rechtsanwalt.,Notar-Spezialist",4800,4792,73113
903,73124 Notare/Notarinnen - Experte,7529,8764,73124
904,73134 Rechtsanwälte/-anwältinnen - Experte,7638,8513,73134
905,73144 Staatsanwälte/-anwältinnen - Experte,7350,6967,73144
906,73154 Richter/innen - Experte,7419,7188,73154
907,73162 Verfassungsschutz - Fachkraft,3533,3595,73162
908,73163 Verfassungsschutz - Spezialist,4601,4662,73163
909,73164 Verfassungsschutz - Experte,6159,6347,73164
910,"73183 Rechtsber.,sprech.,ordn.(ssT)-Spezialist",5218,6039,73183
911,"73184 Rechtsberat.,sprech.,ordn.(ssT)-Experte",6698,7339,73184
912,"73194 Führung-Rechtsberatung,sprechung,ordnung",10266,11361,73194
913,73201 Öffentliche Verwaltung (o.S.) - Helfer,2934,2990,73201
914,73202 Öffentliche Verwaltung(o.S.) - Fachkraft,3375,3489,73202
915,73203 Öffentliche Verwaltung (o.S.)-Spezialist,4559,4600,73203
916,73204 Öffentliche Verwaltung (o.S.) - Experte,6218,6325,73204
917,"73212 Sozialverwaltung,-versicherung-Fachkraft",3519,3578,73212
918,"73213 Sozialverwaltung,versicherung-Spezialist",4606,4629,73213
919,"73214 Sozialverwaltung, -versicherung-Experte",6569,6863,73214
920,"73222 Verw. Sozial-,Gesundheitswes. -Fachkraft",3246,3383,73222
921,"73223 Verw. Sozial-,Gesundheitswes.-Spezialist",3759,4059,73223
922,"73224 Verw. Sozial-,Gesundheitswes. - Experte",4758,5537,73224
923,73231 Steuerverwaltung - Helfer,2848,2901,73231
924,73232 Steuerverwaltung - Fachkraft,3359,3308,73232
925,73233 Steuerverwaltung - Spezialist,4320,4353,73233
926,73234 Steuerverwaltung - Experte,6020,6157,73234
927,73241 Zolldienst - Helfer,0,,73241
928,73242 Zolldienst - Fachkraft,3904,4295,73242
929,73243 Zolldienst - Spezialist,0,,73243
930,73244 Zolldienst - Experte,4771,5254,73244
931,73252 Justizverwaltung - Fachkraft,3367,3306,73252
932,73253 Justizverwaltung - Spezialist,4150,4262,73253
933,73254 Justizverwaltung - Experte,5937,6185,73254
934,73282 Öffentliche Verwaltung (ssT) - Fachkraft,3540,3692,73282
935,73283 Öffentliche Verwaltung (ssT) -Spezialist,4519,4466,73283
936,73284 Öffentliche Verwaltung (ssT) - Experte,6227,6489,73284
937,73293 Aufsicht - Verwaltung,6419,6525,73293
938,73294 Führung - Verwaltung,8746,8570,73294
939,73312 Archivwesen - Fachkraft,3498,3764,73312
940,73313 Archivwesen - Spezialist,4087,4502,73313
941,73314 Archivwesen - Experte,3180,3404,73314
942,73322 Bibliothekswesen - Fachkraft,3361,3586,73322
943,73323 Bibliothekswesen - Spezialist,4286,4753,73323
944,73324 Bibliothekswesen - Experte,4424,4665,73324
945,"73332 Dokument.-,Informationsdienst-Fachkraft",4050,4353,73332
946,"73333 Dokument.-,Informationsdienst-Spezialist",3473,4449,73333
947,"73334 Dokumentat.-, Informationsdienst-Experte",4026,4212,73334
948,73342 Medizinische Dokumentation - Fachkraft,4168,4640,73342
949,"73394 Führung-Medien-Dokument.-,Informationsd.",5440,6362,73394
950,81102 Medizin. Fachangestellte (oS)-Fachkraft,2828,2861,81102
951,81103 Medizin. Fachangestellte (oS)-Spezialist,2815,2859,81103
952,81112 Zahnmedizin. Fachangestellte - Fachkraft,2600,2660,81112
953,81113 Zahnmedizin.Fachangestellte - Spezialist,3050,3058,81113
954,81132 Orthoptisten/Orthoptistinnen - Fachkraft,3624,3637,81132
955,81142 Tiermedizin. Fachangestellte - Fachkraft,2585,2661,81142
956,81143 Tiermedizin.Fachangestellte - Spezialist,3374,3432,81143
957,81182 Medizin. Fachangestellte (ssT)-Fachkraft,2951,3082,81182
958,81183 Medizin.Fachangestellte (ssT)-Spezialist,3308,3488,81183
959,81212 Med.-techn. Berufe Laborat. - Fachkraft,3640,3747,81212
960,81213 Med.-techn. Berufe Laborat. - Spezialist,0,,81213
961,81214 Med.-techn. Berufe Laborat. - Experte,10000,10599,81214
962,81222 Med.-tech.Berufe Funktionsdiag-Fachkraft,3637,3901,81222
963,81223 Med-tech.Berufe Funktionsdiag-Spezialist,5797,5826,81223
964,81224 Med.-tech. Berufe Funktionsdiag-Experte,5766,6169,81224
965,81232 Med.-tech.Berufe Radiologie - Fachkraft,4056,4037,81232
966,81233 Med.-tech. Berufe Radiologie -Spezialist,0,,81233
967,81234 Med.-techn. Berufe Radiologie - Experte,10859,11276,81234
968,81242 Med.-tech.Berufe Veterinärmed.-Fachkraft,3636,3905,81242
969,81243 Med.-tech.BerufeVeterinärmed.-Spezialist,0,,81243
970,81294 Führung - Medizinisches Laboratorium,0,,81294
971,"81301 Gesundheits-, Krankenpflege (oS)-Helfer",3063,3201,81301
972,"81302 Gesundheits-,Krankenpflege(oS)-Fachkraft",3988,4067,81302
973,81313 Fachkrankenpflege - Spezialist,4435,4570,81313
974,81323 Fachkinderkrankenpflege - Spezialist,4438,4566,81323
975,81332 Operationstechn. Assistenz - Fachkraft,4182,4261,81332
976,81333 Operationstechn. Assistenz - Spezialist,4152,4377,81333
977,81341 Rettungsdienst - Helfer,2756,2841,81341
978,81342 Rettungsdienst - Fachkraft,3717,3782,81342
979,81343 Rettungsdienst - Spezialist,4013,4193,81343
980,"81352 Geburtshilfe,Entbindungspflege-Fachkraft",3751,3535,81352
981,81353 GeburtshilfeEntbindungspflege-Spezialist,4042,4048,81353
982,"81382 Gesundheits,Krankenpflege(ssT)-Fachkraft",3912,4037,81382
983,"81383 Gesundheits-,Krankenpfl.(ssT)-Spezialist",0,,81383
984,"81393 Aufsicht-Krankenpfl.,Rettungsd.,Geburtsh",4954,5007,81393
985,"81394 Führung-Krankenpfl.,Rettungsd.,Geburtsh.",4953,5416,81394
986,81404 Ärzte/Ärztinnen (o.S.) - Experte,7022,7983,81404
987,"81414 Fachärzte Kinder-,Jugendmedizin -Experte",7259,7897,81414
988,81424 Fachärzte Innere Medizin - Experte,8231,9291,81424
989,81434 Fachärzte in der Chirurgie - Experte,9256,10636,81434
990,"81444 Fachärzte Sinnes,Geschlechtsorg.-Experte",8427,9882,81444
991,81454 Fachärzte Anästhesiologie - Experte,8748,9387,81454
992,"81464 Fachärzte Psychiatr.,Psychother.-Experte",7958,8460,81464
993,"81474 Zahnärzte, Kieferorthopäden - Experte",5289,6719,81474
994,81484 Ärzte/Ärztinnen (s.s.T.) - Experte,7727,8355,81484
995,81494 Führung - Human- und Zahnmedizin,13095,14852,81494
996,81504 Tierärzte/-ärztinnen (o.S.) - Experte,4725,5349,81504
997,"81514 Tierärzte für Groß-, Nutztiere - Experte",3316,3664,81514
998,"81524 Tierärzte für Haus-, Heimtiere - Experte",4690,5248,81524
999,81532 Tierheilpraktiker/innen - Fachkraft,0,,81532
1000,"81584 Tiermedizin, Tierheilkunde (ssT)-Experte",0,,81584
1001,81594 Führung - Tiermedizin und Tierheilkunde,0,,81594
1002,81614 Nicht klinische Psychologie - Experte,4911,4825,81614
1003,81623 Klinische Psychologie - Spezialist,0,,81623
1004,81624 Klinische Psychologie - Experte,4784,4776,81624
1005,81634 Nicht ärztliche Psychotherapie - Experte,4681,4403,81634
1006,81712 Physiotherapie - Fachkraft,2903,2961,81712
1007,81713 Physiotherapie - Spezialist,3040,3052,81713
1008,81714 Physiotherapie - Experte,2713,2674,81714
1009,81722 Ergotherapie - Fachkraft,0,,81722
1010,81723 Ergotherapie - Spezialist,3200,3205,81723
1011,81724 Ergotherapie - Experte,3455,3518,81724
1012,81733 Sprachtherapie - Spezialist,3200,3283,81733
1013,81734 Sprachtherapie - Experte,3800,3930,81734
1014,81743 Musik- und Kunsttherapie - Spezialist,3603,3584,81743
1015,81744 Musik- und Kunsttherapie - Experte,3791,3415,81744
1016,81752 Heilkunde und Homöopathie - Fachkraft,3618,3770,81752
1017,81753 Heilkunde und Homöopathie - Spezialist,2895,2584,81753
1018,"81762 Diät-, Ernährungstherapie - Fachkraft",3315,3346,81762
1019,"81763 Diät-, Ernährungstherapie - Spezialist",3823,3850,81763
1020,"81764 Diät-, Ernährungstherapie - Experte",0,,81764
1021,81772 Podologen/Podologinnen - Fachkraft,0,,81772
1022,"81782 Nichtärzt.Therapie,Heilk.(ssT)-Fachkraft",3163,3138,81782
1023,"81783 Nichtärzt.Therapie,Heilk(ssT)-Spezialist",3219,3434,81783
1024,"81784 Nichtärztl.Therapie,Heilk.(ssT)-Experte",5619,5436,81784
1025,"81794 Führung - Nichtärztl. Therapie,Heilkunde",4697,5017,81794
1026,"81804 Apotheker, Pharmazeuten - Experte",5129,5342,81804
1027,81814 Fachärzte in der Pharmakologie - Experte,7173,8692,81814
1028,81822 Pharmazeut.-techn. Assistenz - Fachkraft,2997,3105,81822
1029,81883 Pharmazie (s.s.T.) - Spezialist,6651,6845,81883
1030,81884 Pharmazie (s.s.T.) - Experte,6242,6844,81884
1031,81894 Führung - Pharmazie,9573,10220,81894
1032,82101 Altenpflege (o.S.) - Helfer,2913,3054,82101
1033,82102 Altenpflege (o.S.) - Fachkraft,3888,3920,82102
1034,82103 Altenpflege (o.S.) - Spezialist,3938,4226,82103
1035,82182 Altenpflege (s.s.T.) - Fachkraft,0,,82182
1036,82183 Altenpflege (s.s.T.) - Spezialist,3735,3703,82183
1037,82194 Führung - Altenpflege,5781,5980,82194
1038,82212 Gesundheitsberatung - Fachkraft,0,,82212
1039,82213 Gesundheitsberatung - Spezialist,0,,82213
1040,82214 Gesundheitsberatung - Experte,5356,5618,82214
1041,82222 Wellness - Fachkraft,2731,2954,82222
1042,82223 Wellness - Spezialist,2638,2909,82223
1043,82232 Ernährungsberatung - Fachkraft,0,,82232
1044,82233 Ernährungsberatung - Spezialist,2820,3125,82233
1045,82243 Qualitätsbeauft.Gesundheitsw.-Spezialist,4188,4487,82243
1046,"82283 Ernähr.,Gesundheitsber.(ssT)-Spezialist",3623,3812,82283
1047,"82284 Ernähr., Gesundheitsberat.(ssT)-Experte",3881,4476,82284
1048,82311 Friseurgewerbe - Helfer,1890,1974,82311
1049,82312 Friseurgewerbe - Fachkraft,2080,2047,82312
1050,82322 Kosmetik - Fachkraft,2427,2514,82322
1051,"82332 Tätowierer, Piercer - Fachkraft",0,,82332
1052,82342 Maskenbildnerei - Fachkraft,3201,3488,82342
1053,82343 Maskenbildnerei - Spezialist,3547,3896,82343
1054,82393 Aufsicht - Körperpflege,2332,2462,82393
1055,82401 Bestattungswesen - Helfer,3340,3637,82401
1056,82402 Bestattungswesen - Fachkraft,3200,3285,82402
1057,82403 Bestattungswesen - Spezialist,3351,3703,82403
1058,82493 Aufsicht - Bestattungswesen,0,,82493
1059,82494 Führung - Bestattungswesen,0,,82494
1060,82502 Medizintechnik (o.S.) - Fachkraft,3524,3630,82502
1061,82503 Medizintechnik (o.S.) - Spezialist,4582,4895,82503
1062,82504 Medizintechnik (o.S.) - Experte,5546,5998,82504
1063,"82512 Orthopädie-, Rehatechnik - Fachkraft",2350,2694,82512
1064,"82513 Orthopädie-, Rehatechnik - Spezialist",3140,3264,82513
1065,"82514 Orthopädie-, Rehatechnik - Experte",0,,82514
1066,82522 Augenoptik - Fachkraft,2500,2697,82522
1067,82523 Augenoptik - Spezialist,0,,82523
1068,82524 Augenoptik - Experte,5744,7027,82524
1069,82532 Hörgeräteakustik - Fachkraft,2827,3224,82532
1070,82533 Hörgeräteakustik - Spezialist,0,,82533
1071,82534 Hörgeräteakustik - Experte,0,,82534
1072,82542 Zahntechnik - Fachkraft,3018,3362,82542
1073,"82593 Aufsicht-Medizin-Orthopädie-,Rehatechnik",4000,4350,82593
1074,"82594 Führung-Medizin-Orthopädie-,Rehatechnik",6500,6003,82594
1075,"83111 Kinderbetreuung, -erziehung - Helfer",2871,2839,83111
1076,"83112 Kinderbetreuung, -erziehung - Fachkraft",3432,3494,83112
1077,"83113 Kinderbetreuung, -erziehung - Spezialist",3526,3579,83113
1078,"83122 Sozialarbeit, Sozialpädagogik-Fachkraft",3204,3222,83122
1079,"83123 Sozialarbeit, Sozialpädagogik-Spezialist",4443,4392,83123
1080,"83124 Sozialarbeit, Sozialpädagogik - Experte",4076,4178,83124
1081,"83131 Heilerziehungspflege, Sonderpäd. -Helfer",2976,2991,83131
1082,"83132 Heilerziehungspflege,Sonderpäd-Fachkraft",3964,3977,83132
1083,"83133 Heilerziehungspfl.,Sonderpäd.-Spezialist",3821,3862,83133
1084,"83134 Heilerziehungspflege,Sonderpäd.-Experte",4064,4197,83134
1085,83141 Haus- und Familienpflege - Helfer,2995,3084,83141
1086,83142 Haus- und Familienpflege - Fachkraft,3029,3156,83142
1087,83143 Haus- und Familienpflege - Spezialist,3023,3075,83143
1088,"83154 Sozial-,Erziehungs-, Suchtberat.-Experte",4183,4302,83154
1089,"83193 Aufsicht-Erziehung,Sozialarbeit,Heilerz.",4642,4584,83193
1090,"83194 Führung-Erziehung,Sozialarbeit,Heilerz.",5044,5241,83194
1091,83211 Hauswirtschaft - Helfer,2554,2652,83211
1092,83212 Hauswirtschaft - Fachkraft,2439,2571,83212
1093,83213 Hauswirtschaft - Spezialist,2974,3149,83213
1094,83223 Verbraucherberatung - Spezialist,4302,4458,83223
1095,"83293 Aufsicht-Hauswirtschaft,Verbraucherber.",3660,3868,83293
1096,83314 Theologie - Experte,4911,5202,83314
1097,83322 Gemeindearbeit - Fachkraft,0,,83322
1098,83323 Gemeindearbeit - Spezialist,5464,5284,83323
1099,"83332 Angeh.geistl.Orden,Mutterhäus.-Fachkraft",3515,3257,83332
1100,"83333 Angeh.geistl.Orden, Mutterh.-Spezialist",8456,9346,83333
1101,"83382 Theologie,Gemeindearbeit (ssT)-Fachkraft",3322,3352,83382
1102,"83383 Theologie,Gemeindearbeit(ssT)-Spezialist",0,,83383
1103,"83384 Theologie, Gemeindearbeit (ssT)-Experte",3683,3995,83384
1104,83394 Führung - Theologie und Gemeindearbeit,7285,7386,83394
1105,84114 Lehrkräfte in der Primarstufe - Experte,4965,4886,84114
1106,84124 Lehrkräfte in d. Sekundarstufe - Experte,5358,5322,84124
1107,84134 Lehrkräfte an Förderschulen - Experte,5223,5132,84134
1108,84144 Lehrerausbildung - Experte,6344,6092,84144
1109,84183 Lehrkräfte allg. Schule (ssT)-Spezialist,3476,3729,84183
1110,84184 Lehrkräfte allg. Schule (ssT)-Experte,5409,6156,84184
1111,84194 Führung - Allgemeinbildende Schulen,7135,7078,84194
1112,84213 Lehrkräfte berufsbild. Fächer-Spezialist,4600,4619,84213
1113,84214 Lehrkräfte berufsbildende Fächer-Experte,5802,5624,84214
1114,"84223 Betriebl.Ausbild., Berufspäd.-Spezialist",3988,4287,84223
1115,"84224 Betriebl. Ausbild., Berufspäd.-Experte",4148,4864,84224
1116,"84294 Führung - BBS, betriebl.Ausb., Betr.päd.",7215,7186,84294
1117,84304 Hochschullehre und -forschung - Experte,5598,6045,84304
1118,84394 Führung - Hochschullehre und -forschung,10132,11217,84394
1119,84404 Erwachsenenbildung (o.S.) - Experte,3599,4076,84404
1120,84412 Musikpädagogik - Fachkraft,4053,4127,84412
1121,84413 Musikpädagogik - Spezialist,0,,84413
1122,84414 Musikpädagogik - Experte,3797,3724,84414
1123,84424 Religionspädagogik - Experte,4865,5172,84424
1124,"84434 Kunst-, Theaterpädagogik - Experte",3700,3815,84434
1125,84444 IT-Anwendungstraining - Experte,4486,4646,84444
1126,84454 (Fremd-)Sprachenlehrer/innen - Experte,3618,4056,84454
1127,84483 Lehrkr.außerschul.Bild.(ssT)-Spezialist,5084,5079,84483
1128,84484 Lehrkr. außerschul.Bild.(ssT)-Experte,5050,5197,84484
1129,84494 Führung-Außerschul.Bildungseinrichtungen,5500,5244,84494
1130,84503 Sportlehrer/innen (o.S.) - Spezialist,0,,84503
1131,84504 Sportlehrer/innen (o.S.) - Experte,3257,3965,84504
1132,84513 Fahrlehrer/innen - Spezialist,3608,3610,84513
1133,84523 Fluglehrer/innen - Spezialist,0,,84523
1134,84533 Tanzlehrer/innen - Spezialist,0,,84533
1135,84543 Trainer - Ballsportarten - Spezialist,4888,11023,84543
1136,"84553 Trainer - Fitness,Gymnastik - Spezialist",2600,2685,84553
1137,84583 Sportlehrer/innen (s.s.T.) - Spezialist,3120,3065,84583
1138,"91104 Sprach-, Literaturwissen.(oS) - Experte",4911,4985,91104
1139,91114 Germanistik - Experte,4511,4557,91114
1140,"91124 Anglistik, Amerikanistik - Experte",0,,91124
1141,91134 Romanistik - Experte,0,,91134
1142,"91144 Slawistik, verwandte Bereiche - Experte",0,,91144
1143,"91154 Arabistik, Orientalistik - Experte",0,,91154
1144,"91164 Sprach-,Literaturwis. asiat.Raum-Experte",4967,5082,91164
1145,91174 Altphilologie - Experte,0,,91174
1146,"91184 Sprach-,Literaturwissensch.(ssT)-Experte",4000,4258,91184
1147,"91214 Philosophie, Religion, Ethik - Experte",6246,6489,91214
1148,91224 Geschichtswissenschaften - Experte,4911,4802,91224
1149,91233 Archäologie - Spezialist,3087,3409,91233
1150,91234 Archäologie - Experte,4166,4386,91234
1151,"91244 Medien-, Theaterwissenschaft - Experte",0,,91244
1152,91254 Regionalwissenschaft - Experte,5330,6412,91254
1153,"91264 Anthropologie, Ethnologie - Experte",3757,4137,91264
1154,91314 Politologie - Experte,5578,6154,91314
1155,91324 Soziologie - Experte,4530,4633,91324
1156,91334 Erziehungswissenschaft - Experte,3500,3664,91334
1157,"91341 Markt-, Meinungsforschung - Helfer",3943,4275,91341
1158,"91342 Markt-, Meinungsforschung - Fachkraft",4212,4333,91342
1159,"91343 Markt-, Meinungsforschung - Spezialist",5868,6217,91343
1160,"91344 Markt-, Meinungsforschung - Experte",5999,6328,91344
1161,91354 Demografie - Experte,0,,91354
1162,91384 Gesellschaftswissenschaften(ssT)-Experte,4911,5498,91384
1163,91404 Wirtschaftswissenschaften (oS) - Experte,5837,6620,91404
1164,91484 Wirtschaftswissenschaften(ssT) - Experte,3759,4235,91484
1165,92112 Werbung und Marketing - Fachkraft,3999,4407,92112
1166,92113 Werbung und Marketing - Spezialist,5184,5734,92113
1167,92114 Werbung und Marketing - Experte,5734,6309,92114
1168,92122 Dialogmarketing - Fachkraft,2579,2932,92122
1169,92123 Dialogmarketing - Spezialist,3682,4159,92123
1170,92133 Kundenmanagement - Spezialist,5430,5963,92133
1171,92193 Aufsicht - Werbung und Marketing,3341,3742,92193
1172,92194 Führung - Werbung und Marketing,7750,8412,92194
1173,92203 Öffentlichkeitsarbeit - Spezialist,5063,5532,92203
1174,92204 Öffentlichkeitsarbeit - Experte,6211,7092,92204
1175,92294 Führung - Öffentlichkeitsarbeit,7384,8342,92294
1176,"92302 Verlags-,Medienkaufleute(oS) - Fachkraft",3717,4114,92302
1177,"92303 Verlags-,Medienkaufleute(oS) -Spezialist",0,,92303
1178,"92304 Verlags-, Medienkaufleute (oS) - Experte",4900,5634,92304
1179,"92382 Verlags-, Medienkaufleute(ssT)-Fachkraft",3556,4116,92382
1180,"92383 Verlags-,Medienkaufleute(ssT)-Spezialist",4167,4804,92383
1181,"92384 Verlags-, Medienkaufleute (ssT) -Experte",3550,3869,92384
1182,92394 Führung - Verlags- und Medienwirtschaft,8065,9093,92394
1183,"92412 Redakteure, Journalisten - Fachkraft",3500,3723,92412
1184,"92413 Redakteure, Journalisten - Spezialist",4636,4907,92413
1185,"92414 Redakteure, Journalisten - Experte",5324,5461,92414
1186,92424 Lektoren/innen - Experte,3102,3763,92424
1187,"92434 Autoren, Schriftsteller - Experte",4800,5281,92434
1188,92494 Führung - Redaktion und Journalismus,6723,7194,92494
1189,"93102 Produkt-, Industriedesign - Fachkraft",4525,4819,93102
1190,"93103 Produkt-, Industriedesign - Spezialist",0,,93103
1191,"93104 Produkt-, Industriedesign - Experte",5598,5915,93104
1192,93212 Innenarchitektur - Fachkraft,0,,93212
1193,93213 Innenarchitektur - Spezialist,3875,4020,93213
1194,93214 Innenarchitektur - Experte,3779,4131,93214
1195,93222 Visuelles Marketing - Fachkraft,2847,3102,93222
1196,93223 Visuelles Marketing - Spezialist,3400,3865,93223
1197,93232 Raumausstattung - Fachkraft,2750,2957,93232
1198,93233 Raumausstattung - Spezialist,0,,93233
1199,"93293 Aufsicht-Innenarchitektur,Raumausstatt.",3370,3485,93293
1200,"93302 Kunsthandw., bild.Kunst (oS) - Fachkraft",2240,2314,93302
1201,"93303 Kunsthandwerk,bild.Kunst (oS)-Spezialist",4514,4195,93303
1202,"93304 Kunsthandwerk, bild. Kunst (oS)-Experte",3686,4603,93304
1203,93312 Bildhauerei - Fachkraft,2317,2498,93312
1204,93313 Bildhauerei - Spezialist,0,,93313
1205,"93323 Kunstmaler, Zeichner - Spezialist",3400,3588,93323
1206,"93332 Drechslerei,Spielzeugherstell.-Fachkraft",2146,2372,93332
1207,"93333 Drechslerei, Spielzeugherst.-Spezialist",0,,93333
1208,93342 Vergolderhandwerk - Fachkraft,0,,93342
1209,93343 Vergolderhandwerk - Spezialist,0,,93343
1210,93352 Wachszieherei - Fachkraft,3375,3225,93352
1211,"93382 Kunsthandwerk, bild.Kunst(ssT)-Fachkraft",0,,93382
1212,"93383 Kunsthandwerk,bild.Kunst(ssT)-Spezialist",3311,3407,93383
1213,"93393 Aufsicht - Kunsthandwerk,bildende Kunst",2320,2573,93393
1214,93412 Kunsthandw. Keramikgestaltung-Fachkraft,2959,3074,93412
1215,93413 Kunsthandw. Keramikgestaltung-Spezialist,2940,3248,93413
1216,93422 KunsthandGlasKeramPorzellanmal-Fachkraft,2143,2343,93422
1217,93432 Kunsthandwerkl. Glasbläserei - Fachkraft,0,,93432
1218,93433 Kunsthandwerkl. Glasbläserei-Spezialist,5002,5137,93433
1219,"93493 Aufsicht-Kunsthandw.Keramik,Glasgestalt.",0,,93493
1220,93512 Kunsthandw. Metallgestaltung - Fachkraft,3435,3676,93512
1221,93513 Kunsthandw. Metallgestaltung-Spezialist,0,,93513
1222,93522 Kunsth.Schmuckher.Edelsteinbe.-Fachkraft,0,,93522
1223,93523 Kunsth.SchmuckherEdelsteinbe.-Spezialist,0,,93523
1224,93524 Kunsth.Schmuckher.Edelsteinbear.-Experte,0,,93524
1225,93532 Gravur - Fachkraft,3327,3437,93532
1226,93533 Gravur - Spezialist,0,,93533
