,bezeichnung_kldb,median_brutto,average_brutto,code_kldb
181,24122 Metallumformung - Fachkraft,3721,3734,24122
182,24123 Metallumformung - Spezialist,0,,24123
183,24124 Metallumformung - Experte,0,,24124
184,24132 Industrielle Gießerei - Fachkraft,3665,3778,24132
185,24133 Industrielle Gießerei - Spezialist,4926,5293,24133
186,24134 Industrielle Gießerei - Experte,0,,24134
187,"24142 Handw.Metall-,Glockengießerei-Fachkraft",3400,3514,24142
188,24193 Aufsicht - Metallerzeugung,5914,5977,24193
189,24201 Metallbearbeitung (o.S.) - Helfer,2883,3017,24201
190,24202 Metallbearbeitung (o.S.) - Fachkraft,3594,3693,24202
191,24203 Metallbearbeitung (o.S.) - Spezialist,4524,4530,24203
192,24212 Spanlose Metallbearbeitung - Fachkraft,3348,3429,24212
193,24222 Schleifende Metallbearbeitung-Fachkraft,3675,3699,24222
194,24232 Spanende Metallbearbeitung - Fachkraft,3630,3729,24232
195,24233 Spanende Metallbearbeitung - Spezialist,3991,4075,24233
196,24243 Metallbearbeitung Laserstrahl-Spezialist,3710,3728,24243
197,24244 Metallbearbeitung Laserstrahl-Experte,5083,5217,24244
198,24293 Aufsicht - Metallbearbeitung,5190,5297,24293
199,24301 Metalloberflächenbehandl. (oS) - Helfer,2857,3011,24301
200,24302 Metalloberflächenbehandl.(oS)-Fachkraft,3471,3559,24302
201,24303 Metalloberflächenbehandl.(oS)-Spezialist,0,,24303
202,24304 Metalloberflächenbehandl. (oS)-Experte,6020,5827,24304
203,24382 Metalloberflächenbehandl.(ssT)-Fachkraft,3273,3466,24382
204,24393 Aufsicht - Metalloberflächenbehandlung,5424,5538,24393
205,24411 Metallbau - Helfer,3000,3258,24411
206,24412 Metallbau - Fachkraft,3189,3353,24412
207,24413 Metallbau - Spezialist,4779,5071,24413
208,24414 Metallbau - Experte,5326,5530,24414
209,"24422 Schweiß-, Verbindungstechnik - Fachkraft",3315,3434,24422
210,"24423 Schweiß-,Verbindungstechnik - Spezialist",4424,4539,24423
211,"24424 Schweiß-, Verbindungstechnik - Experte",6200,6129,24424
212,24432 Industrietaucher/innen u.a. - Fachkraft,4171,4617,24432
213,24493 Aufsicht - Metallbau und Schweißtechnik,4540,4851,24493
214,24511 Feinwerktechnik - Helfer,2999,3082,24511
215,24512 Feinwerktechnik - Fachkraft,3651,3897,24512
216,24513 Feinwerktechnik - Spezialist,0,,24513
217,24514 Feinwerktechnik - Experte,6050,6629,24514
218,24522 Werkzeugtechnik - Fachkraft,3816,4012,24522
219,24523 Werkzeugtechnik - Spezialist,4600,4829,24523
220,24524 Werkzeugtechnik - Experte,5604,5768,24524
221,24532 Uhrmacherhandwerk - Fachkraft,3360,3379,24532
222,24533 Uhrmacherhandwerk - Spezialist,0,,24533
223,24593 Aufsicht - Feinwerk- u. Werkzeugtechnik,4916,5164,24593
224,"25101 Maschinenbau-,Betriebstechnik(oS)-Helfer",3030,3167,25101
225,"25102 Maschinenbau-,Betriebstech(oS)-Fachkraft",3838,3993,25102
226,"25103 Maschinenbau,Betriebstech(oS)-Spezialist",4851,5203,25103
227,"25104 Maschinenbau-,Betriebstechn.(oS)-Experte",6103,6654,25104
228,"25112 Maschinen,Gerätezusammensetzer-Fachkraft",3374,3502,25112
229,"25122 Maschinen-, Anlagenführer - Fachkraft",3563,3698,25122
230,"25131 Tech.Servicekr. Wartung,Instand.-Helfer",3625,3967,25131
231,"25132 Tech.Servicekr.Wartung,Instand-Fachkraft",4023,4252,25132
232,"25133 TechServicekr.Wartung,Instand-Spezialist",4685,4927,25133
233,"25134 Tech.Servicekr.Wartung,Instand.-Experte",5983,6297,25134
234,"25182 Maschinenbau,Betriebstech(ssT)-Fachkraft",4175,4253,25182
235,"25183 Maschinenbau,Betriebstec(ssT)-Spezialist",4410,4682,25183
236,"25184 Maschinenbau,Betriebstechn.(ssT)-Experte",6131,6626,25184
237,"25193 Aufsicht - Maschinenbau-,Betriebstechnik",5478,5565,25193
238,"25194 Führung - Maschinenbau-, Betriebstechnik",6196,6598,25194
239,25201 Fahrzeugtechnik (o.S.) - Helfer,2850,3014,25201
240,25212 Kraftfahrzeugtechnik - Fachkraft,3197,3401,25212
241,25213 Kraftfahrzeugtechnik - Spezialist,3830,4040,25213
242,25214 Kraftfahrzeugtechnik - Experte,6608,6711,25214
243,"25222 Land-, Baumaschinentechnik - Fachkraft",3074,3240,25222
244,"25223 Land-, Baumaschinentechnik - Spezialist",3500,3578,25223
245,"25224 Land-, Baumaschinentechnik - Experte",6152,5913,25224
246,25232 Luft- und Raumfahrttechnik - Fachkraft,4665,4889,25232
247,25233 Luft- und Raumfahrttechnik - Spezialist,5805,6205,25233
248,25234 Luft- und Raumfahrttechnik - Experte,6805,7035,25234
249,25242 Schiffbautechnik - Fachkraft,3694,3988,25242
250,25243 Schiffbautechnik - Spezialist,4767,5084,25243
251,25244 Schiffbautechnik - Experte,5400,5808,25244
252,25252 Zweiradtechnik - Fachkraft,2600,2635,25252
253,25253 Zweiradtechnik - Spezialist,0,,25253
254,25254 Zweiradtechnik - Experte,0,,25254
255,25293 Aufsicht-FahrzeugLuftRaumf.Schiffbautech,4025,4294,25293
256,25294 Führung-FahrzeugLuftRaumf.Schiffbautech,10082,10992,25294
257,"26102 Mechatr,Automatisierungs(o.S.) - Fachkraft",4672,4850,26102
258,26112 Mechatronik - Fachkraft,3500,3646,26112
259,26113 Mechatronik - Spezialist,4252,4321,26113
260,26114 Mechatronik - Experte,5735,5674,26114
261,26122 Automatisierungstechnik - Fachkraft,3777,4074,26122
262,26123 Automatisierungstechnik - Spezialist,4750,5059,26123
263,26124 Automatisierungstechnik - Experte,5687,6173,26124
264,"26193 Aufsicht-Mechatronik,Automatisierungst.",5750,5568,26193
265,26212 Bauelektrik - Fachkraft,3211,3438,26212
266,26213 Bauelektrik - Spezialist,3406,3813,26213
267,26222 Elektromaschinentechnik - Fachkraft,3592,3940,26222
268,26223 Elektromaschinentechnik - Spezialist,3725,4329,26223
269,"26232 Energie-, Kraftwerkstechnik - Fachkraft",4889,5046,26232
270,"26233 Energie-, Kraftwerkstechnik - Spezialist",4966,5130,26233
271,"26234 Energie-, Kraftwerkstechnik - Experte",5967,6330,26234
272,26242 Regenerative Energietechnik - Fachkraft,4200,4358,26242
273,26243 Regenerative Energietechnik - Spezialist,4037,4271,26243
274,26244 Regenerative Energietechnik - Experte,5330,5986,26244
275,26252 Elektrische Betriebstechnik - Fachkraft,4000,4221,26252
276,26253 Elektrische Betriebstechnik - Spezialist,4683,4898,26253
277,"26262 Leitungsinstallation,-wartung -Fachkraft",3824,4069,26262
278,"26263 Leitungsinstallation,-wartung-Spezialist",0,,26263
279,"26264 Leitungsinstallation,-wartung - Experte",0,,26264
280,26293 Aufsicht - Energietechnik,5119,5305,26293
281,26301 Elektrotechnik (o.S.) - Helfer,2719,2849,26301
282,26302 Elektrotechnik (o.S.) - Fachkraft,3522,3812,26302
283,26303 Elektrotechnik (o.S.) - Spezialist,4834,5082,26303
284,26304 Elektrotechnik (o.S.) - Experte,6283,6801,26304
285,"26312 Inform-,Telekommunikationst.-Fachkraft",4167,4436,26312
286,"26313 Inform-,Telekommunikationst.-Spezialist",5567,5589,26313
287,"26314 Inform-,Telekommunikationst.-Experte",6560,7034,26314
288,26322 Mikrosystemtechnik - Fachkraft,3302,3554,26322
289,26323 Mikrosystemtechnik - Spezialist,0,,26323
290,26324 Mikrosystemtechnik - Experte,6013,6541,26324
291,"26332 Luftv.Schiff,Fahrzeugelektron.-Fachkraft",3750,3933,26332
292,"26333 Luftv.Schiff,Fahrzeugelektron-Spezialist",0,,26333
293,"26334 Luftv.Schiff,Fahrzeugelektronik-Experte",6438,6892,26334
294,26382 Elektrotechnik (s.s.T.) - Fachkraft,4068,4262,26382
295,26383 Elektrotechnik (s.s.T.) - Spezialist,4902,5139,26383
296,26384 Elektrotechnik (s.s.T.) - Experte,6017,6270,26384
297,26393 Aufsicht - Elektrotechnik,5004,5317,26393
298,"27103 Techn.Forschung,Entwickl.(oS)-Spezialist",5400,5569,27103
299,"27104 Techn.Forschung,Entwickl.(oS)-Experte",6193,6428,27104
300,"27182 Tech.Forschung,Entwickl.(ssT)-Fachkraft",5170,5636,27182
301,"27183 Tech.Forschung,Entwickl.(ssT)-Spezialist",6164,6704,27183
302,"27184 Tech.Forschung,Entwickl.(ssT)-Experte",6836,7322,27184
303,"27194 Führung - Techn. Forschung, Entwicklung",9725,10515,27194
304,27212 Technische Zeichner/innen - Fachkraft,3569,3752,27212
305,27223 Konstruktion und Gerätebau - Spezialist,4884,5065,27223
306,27224 Konstruktion und Gerätebau - Experte,5739,5846,27224
307,27232 Modellbau - Fachkraft,3400,3665,27232
308,"27282 TechZeich,Konstr,Modellb.(ssT)-Fachkraft",3136,3479,27282
309,"27283 TechZeich,Konstr,Modellb(ssT)-Spezialist",3961,4231,27283
310,"27284 TechZeich.,Konstr.,Modellb.(ssT)-Experte",6089,6195,27284
311,"27293 Aufsicht-TechZeichnen,Konstrukt.Modellb.",4000,5172,27293
312,"27294 Führung-TechZeichnen,Konstrukt.Modellb.",8110,8118,27294
313,"27302 Tech.Produktionspl.,-steuerung-Fachkraft",4364,4495,27302
314,"27303 Tech.Produktionspl.,steuerung-Spezialist",4745,4999,27303
315,"27304 Tech.Produktionspl.,-steuerung-Experte",6119,6612,27304
316,27312 Technische Qualitätssicherung-Fachkraft,3782,3910,27312
317,27313 Technische Qualitätssicherung-Spezialist,4644,4927,27313
318,27314 Technische Qualitätssicherung - Experte,6062,6406,27314
319,"27393 Aufsicht-Techn.Produktionsplan.,-steuer.",5000,5467,27393
320,"27394 Führung- Techn.Produktionsplan.,-steuer.",6184,6863,27394
321,28101 Textiltechnik (o.S.) - Helfer,2505,2796,28101
322,28102 Textiltechnik (o.S.) - Fachkraft,3009,3297,28102
323,28103 Textiltechnik (o.S.) - Spezialist,5356,4763,28103
324,28104 Textiltechnik (o.S.) - Experte,5827,6125,28104
325,28112 Textilgestaltung - Fachkraft,2802,2725,28112
326,28113 Textilgestaltung - Spezialist,3400,3763,28113
327,28114 Textilgestaltung - Experte,4247,4602,28114
328,28122 Textilherstellung - Fachkraft,2991,3202,28122
329,28123 Textilherstellung - Spezialist,4285,4501,28123
330,28132 Garn- und Seilherstellung - Fachkraft,2596,2808,28132
331,28133 Garn- und Seilherstellung - Spezialist,0,,28133
332,28142 Textilveredlung - Fachkraft,2877,3043,28142
333,28143 Textilveredlung - Spezialist,3949,4319,28143
334,"28193 Aufsicht - Textiltechnik, -produktion",4259,4447,28193
335,"28194 Führung - Textiltechnik, -produktion",5095,6413,28194
336,28212 Modedesign - Fachkraft,4571,4682,28212
337,28213 Modedesign - Spezialist,4200,4248,28213
338,28214 Modedesign - Experte,4211,5054,28214
