statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);;Insgesamt;ERWBV1;Stellung im Beruf;ERW-BEAMT;Beamte/-innen;2103550;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-3;Techniker und gleichrangige nichttechnische Berufe;ERWBV1;Stellung im Beruf;ERW-FAMILIE;Mithelfende Familienangehörige;27150;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-7;Handwerks- und verwandte Berufe;ERWBV1;Stellung im Beruf;ERW-BEAMT;Beamte/-innen;15690;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-8;Bediener von Anlagen/Maschinen und Montageberufe;ERWBV1;Stellung im Beruf;ERW-BESCH-X;Selbstständige ohne Beschäftigte;25300;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-4;Bürokräfte und verwandte Berufe;ERWBV1;Stellung im Beruf;ERW-FAMILIE;Mithelfende Familienangehörige;27170;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-3;Techniker und gleichrangige nichttechnische Berufe;ERWBV1;Stellung im Beruf;ERW-BEAMT;Beamte/-innen;483120;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-5;Dienstleistungsberufe und Verkäufer;ERWBV1;Stellung im Beruf;ERW-FAMILIE;Mithelfende Familienangehörige;53820;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-0;Angehörige der regulären Streitkräfte;ERWBV1;Stellung im Beruf;;Insgesamt;151210;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-6;Fachkräfte in Land-/Forstwirtschaft und Fischerei;ERWBV1;Stellung im Beruf;ERW-BESCH-X;Selbstständige ohne Beschäftigte;66570;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-9;Hilfsarbeitskräfte;ERWBV1;Stellung im Beruf;ERW-BESCH;Selbstständige mit Beschäftigten;39670;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-6;Fachkräfte in Land-/Forstwirtschaft und Fischerei;ERWBV1;Stellung im Beruf;ERW-FAMILIE;Mithelfende Familienangehörige;52020;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-7;Handwerks- und verwandte Berufe;ERWBV1;Stellung im Beruf;ERW-BESCH-X;Selbstständige ohne Beschäftigte;163310;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-1;Führungskräfte;ERWBV1;Stellung im Beruf;ERW-BESCH;Selbstständige mit Beschäftigten;334930;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-4;Bürokräfte und verwandte Berufe;ERWBV1;Stellung im Beruf;ERW-ANGESTELLT;Angestellte/Arbeiter/-innen;4657100;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);;Insgesamt;ERWBV1;Stellung im Beruf;ERW-ANGESTELLT;Angestellte/Arbeiter/-innen;35132960;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-5;Dienstleistungsberufe und Verkäufer;ERWBV1;Stellung im Beruf;ERW-BESCH;Selbstständige mit Beschäftigten;263970;Anzahl;ERW001;Erwerbstätige;e
