;;;;;;;Klassifikation der Berufe 2010 – überarbeitete Fassung 2020;
;;;;;;;;
Umsteigeschlüssel von der Klassifikation der Berufe 2010 – überarbeitete Fassung 2020 (5-Steller) zur ISCO-08 (4-Steller);;;;;;;;
;;;;;;;;
"KldB 2010
(5-Steller)";Bezeichnungen der KldB2010 (5-Steller);Classification title (English);"ISCO-08
(4-Steller)";Bezeichnungen der ISCO-08 (4-Steller);Unit Group (English);"Umstieg eindeutig (1);
nicht eindeutig (0)";"Schwerpunkt (1) und 
Anzahl der Alternativen";
11322;Berufe in der Pferdewirtschaft - Reiten - fachlich ausgerichtete Tätigkeiten;Occupations in horsekeeping: riding-skilled tasks;5164;Tierpfleger und -betreuer;Pet groomers and animal care workers;1;1;
11333;Hufbeschlagschmiede/-schmiedinnen - komplexe Spezialistentätigkeiten;Farrier-complex tasks;7221;Grobschmiede, Hammerschmiede und Schmiedepresser;Blacksmiths, hammer smiths and forging press workers;1;1;
11342;Kutscher/innen - fachlich ausgerichtete Tätigkeiten;Coachman-skilled tasks;9332;Führer von Fahrzeugen und Maschinen mit Zugtierantrieb;Drivers of animal-drawn vehicles and machinery;1;1;
11393;Aufsichtskräfte - Pferdewirtschaft;Supervisors in horsekeeping;6121;Nutztierhalter (ohne Geflügel) und Milchproduzenten;Livestock and dairy producers;0;1;
11393;Aufsichtskräfte - Pferdewirtschaft;Supervisors in horsekeeping;5164;Tierpfleger und -betreuer;Pet groomers and animal care workers;0;2;
11393;Aufsichtskräfte - Pferdewirtschaft;Supervisors in horsekeeping;3423;Trainer und Betreuer im Bereich Fitness und Erholung;Fitness and recreation instructors and program leaders;0;3;
11394;Führungskräfte - Pferdewirtschaft;Managers in horsekeeping;6121;Nutztierhalter (ohne Geflügel) und Milchproduzenten;Livestock and dairy producers;0;1;
11394;Führungskräfte - Pferdewirtschaft;Managers in horsekeeping;5164;Tierpfleger und -betreuer;Pet groomers and animal care workers;0;2;
11394;Führungskräfte - Pferdewirtschaft;Managers in horsekeeping;3423;Trainer und Betreuer im Bereich Fitness und Erholung;Fitness and recreation instructors and program leaders;0;3;
11401;Berufe in der Fischwirtschaft (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten;Occupations in fishing (without specialisation)-unskilled/semiskilled tasks;9216;Hilfsarbeiter in der Fischerei und Aquakultur;Fishery and aquaculture labourers;1;1;
11402;Berufe in der Fischwirtschaft (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten;Occupations in fishing (without specialisation)-skilled tasks;6222;Binnen- und Küstenfischer;Inland and coastal waters fishery workers;0;2;
11402;Berufe in der Fischwirtschaft (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten;Occupations in fishing (without specialisation)-skilled tasks;6221;Fachkräfte im Bereich Aquakultur;Aquaculture workers;0;1;
11402;Berufe in der Fischwirtschaft (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten;Occupations in fishing (without specialisation)-skilled tasks;6223;Hochseefischer;Deep-sea fishery workers;0;3;
11412;Berufe in der Fischzucht - fachlich ausgerichtete Tätigkeiten;Occupations in fish farming-skilled tasks;6221;Fachkräfte im Bereich Aquakultur;Aquaculture workers;1;1;
11422;Berufe in der Fischerei - fachlich ausgerichtete Tätigkeiten;Occupations in fishery-skilled tasks;6222;Binnen- und Küstenfischer;Inland and coastal waters fishery workers;0;1;
11422;Berufe in der Fischerei - fachlich ausgerichtete Tätigkeiten;Occupations in fishery-skilled tasks;6223;Hochseefischer;Deep-sea fishery workers;0;2;
11423;Berufe in der Fischerei - komplexe Spezialistentätigkeiten;Occupations in fishery-complex tasks;3141;Biotechniker (ohne medizinische Fachberufe);Life science technicians (excluding medical);1;1;
11424;Berufe in der Fischerei - hoch komplexe Tätigkeiten;Occupations in fishery-highly complex tasks;2132;Agrar-, Forst- und Fischereiwissenschaftler und -berater;Farming, forestry and fisheries advisers;1;1;
11493;Aufsichtskräfte - Fischwirtschaft;Supervisors in fishing;6222;Binnen- und Küstenfischer;Inland and coastal waters fishery workers;0;2;
11493;Aufsichtskräfte - Fischwirtschaft;Supervisors in fishing;6221;Fachkräfte im Bereich Aquakultur;Aquaculture workers;0;1;
11493;Aufsichtskräfte - Fischwirtschaft;Supervisors in fishing;6223;Hochseefischer;Deep-sea fishery workers;0;3;
11494;Führungskräfte - Fischwirtschaft;Managers in fishing;1312;Führungskräfte in der Produktion in Aquakultur und Fischerei;Aquaculture and fisheries production managers;1;1;
11501;Berufe in der Tierpflege (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten;Occupations in animal care (without specialisation)-unskilled/semiskilled tasks;9212;Hilfsarbeiter in der Tierhaltung;Livestock farm labourers;1;1;
11502;Berufe in der Tierpflege (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten;Occupations in animal care (without specialisation)-skilled tasks;5164;Tierpfleger und -betreuer;Pet groomers and animal care workers;1;1;
11512;Berufe in der Nutztierpflege - fachlich ausgerichtete Tätigkeiten;Occupations in livestock care-skilled tasks;5164;Tierpfleger und -betreuer;Pet groomers and animal care workers;1;1;
