,ISCO-Code,Stellung im Beruf,is_supervisor,self_employed,n_employees,Anzahl,control_work,control_daily,Bezeichnung
370,2342,Arbeiter*innen & Angestellte,0,0,0.0,706050,4,2,Lehrkräfte und Erzieher im Vorschulbereich
375,2351,Arbeiter*innen & Angestellte,0,0,0.0,45180,4,2,Pädagogik- und Didaktikspezialisten
380,2352,Arbeiter*innen & Angestellte,0,0,0.0,120660,4,2,Lehrkräfte im Bereich Sonderpädagogik
385,2353,Arbeiter*innen & Angestellte,0,0,0.0,7810,4,2,Sonstige Sprachlehrer
390,2354,Arbeiter*innen & Angestellte,0,0,0.0,15950,4,2,Sonstige Musiklehrer
395,2355,Arbeiter*innen & Angestellte,0,0,0.0,7610,4,2,Sonstige Kunstlehrer
400,2356,Arbeiter*innen & Angestellte,0,0,0.0,5440,4,2,Ausbilder im Bereich Informationstechnologie
405,2359,Arbeiter*innen & Angestellte,0,0,0.0,58290,4,2,"Lehrkräfte, anderweitig nicht genannt"
410,2411,Arbeiter*innen & Angestellte,0,0,0.0,261600,4,2,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe"
415,2412,Arbeiter*innen & Angestellte,0,0,0.0,61360,4,2,Finanz- und Anlageberater
420,2413,Arbeiter*innen & Angestellte,0,0,0.0,29520,4,2,Finanzanalysten
425,2421,Arbeiter*innen & Angestellte,0,0,0.0,338970,4,2,Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse
430,2422,Arbeiter*innen & Angestellte,0,0,0.0,109860,4,2,Akademische und vergleichbare Fachkräfte in der strategischen Planung in Politik und Wirtschaft
435,2423,Arbeiter*innen & Angestellte,0,0,0.0,157260,4,2,Berufsberater und -analytiker und akademische und vergleichbare Personalfachleute
440,2424,Arbeiter*innen & Angestellte,0,0,0.0,23120,4,2,Fachkräfte in Personalschulung und -entwicklung
445,2431,Arbeiter*innen & Angestellte,0,0,0.0,235660,4,2,Akademische und vergleichbare Fachkräfte in Werbung und Marketing
450,2432,Arbeiter*innen & Angestellte,0,0,0.0,44060,4,2,Akademische und vergleichbare Fachkräfte in der Öffentlichkeitsarbeit
455,2433,Arbeiter*innen & Angestellte,0,0,0.0,229560,4,2,"Akademische und vergleichbare Fachkräfte im Bereich Vertrieb (Technik und Medizin, ohne Informations- und Kommunikationstechnologie)"
460,2434,Arbeiter*innen & Angestellte,0,0,0.0,41210,4,2,Akademische und vergleichbare Fachkräfte im Vertrieb von Informations- und Kommunikationstechnologie
465,2511,Arbeiter*innen & Angestellte,0,0,0.0,292220,4,2,Systemanalytiker
470,2512,Arbeiter*innen & Angestellte,0,0,0.0,347470,4,2,Softwareentwickler
475,2513,Arbeiter*innen & Angestellte,0,0,0.0,21050,4,2,Web- und Multimediaentwickler
480,2514,Arbeiter*innen & Angestellte,0,0,0.0,49980,4,2,Anwendungsprogrammierer
485,2519,Arbeiter*innen & Angestellte,0,0,0.0,52420,4,2,"Entwickler und Analytiker von Software und Anwendungen, anderweitig nicht genannt"
490,2521,Arbeiter*innen & Angestellte,0,0,0.0,11110,4,2,Datenbankentwickler und -administratoren
495,2522,Arbeiter*innen & Angestellte,0,0,0.0,101440,4,2,Systemadministratoren
500,2523,Arbeiter*innen & Angestellte,0,0,0.0,8310,4,2,Akademische und vergleichbare Fachkräfte für Computernetzwerke
505,2529,Arbeiter*innen & Angestellte,0,0,0.0,5930,4,2,"Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt"
510,2611,Arbeiter*innen & Angestellte,0,0,0.0,76490,4,2,Anwälte
515,2612,Arbeiter*innen & Angestellte,0,0,0.0,26430,4,2,Richter
520,2619,Arbeiter*innen & Angestellte,0,0,0.0,97090,4,2,"Juristen, anderweitig nicht genannt"
525,2621,Arbeiter*innen & Angestellte,0,0,0.0,16690,4,2,Archiv- und Museumswissenschaftler
530,2622,Arbeiter*innen & Angestellte,0,0,0.0,16170,4,2,Bibliothekswissenschaftler und verwandte Informationswissenschaftler
535,2631,Arbeiter*innen & Angestellte,0,0,0.0,13980,4,2,Volkswirtschaftler
540,2632,Arbeiter*innen & Angestellte,0,0,0.0,18410,4,2,"Soziologen, Anthropologen und verwandte Wissenschaftler"
545,2633,Arbeiter*innen & Angestellte,0,0,0.0,6790,4,2,"Philosophen, Historiker und Politologen"
550,2634,Arbeiter*innen & Angestellte,0,0,0.0,75750,4,2,Psychologen
555,2635,Arbeiter*innen & Angestellte,0,0,0.0,391680,4,2,Sozialarbeiter
560,2636,Arbeiter*innen & Angestellte,0,0,0.0,45290,4,2,"Geistliche, Seelsorger"
565,2641,Arbeiter*innen & Angestellte,0,0,0.0,27630,4,2,Autoren und verwandte schriftstellerische Berufe
570,2642,Arbeiter*innen & Angestellte,0,0,0.0,93360,4,2,Journalisten
575,2643,Arbeiter*innen & Angestellte,0,0,0.0,18840,4,2,"Übersetzer, Dolmetscher und andere Linguisten"
580,2651,Arbeiter*innen & Angestellte,0,0,0.0,4430,4,2,Bildende Künstler
585,2652,Arbeiter*innen & Angestellte,0,0,0.0,31350,4,2,"Musiker, Sänger und Komponisten"
590,2653,Arbeiter*innen & Angestellte,0,0,0.0,1980,4,2,Tänzer und Choreografen
595,2654,Arbeiter*innen & Angestellte,0,0,0.0,20650,4,2,Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen
600,2655,Arbeiter*innen & Angestellte,0,0,0.0,6630,4,2,Schauspieler
605,2656,Arbeiter*innen & Angestellte,0,0,0.0,1830,4,2,"Sprecher im Rundfunk, Fernsehen und sonstigen Medien"
610,2659,Arbeiter*innen & Angestellte,0,0,0.0,2110,4,2,"Bildende und darstellende Künstler, anderweitig nicht genannt"
615,3111,Arbeiter*innen & Angestellte,0,0,0.0,85760,4,2,Chemo- und Physikotechniker
620,3112,Arbeiter*innen & Angestellte,0,0,0.0,155820,4,2,Bautechniker
625,3113,Arbeiter*innen & Angestellte,0,0,0.0,77250,4,2,Elektrotechniker
630,3114,Arbeiter*innen & Angestellte,0,0,0.0,115670,4,2,Techniker im Bereich Elektronik
635,3115,Arbeiter*innen & Angestellte,0,0,0.0,202200,4,2,Maschinenbautechniker
640,3116,Arbeiter*innen & Angestellte,0,0,0.0,30300,4,2,Chemiebetriebs- und Verfahrenstechniker
645,3117,Arbeiter*innen & Angestellte,0,0,0.0,19880,4,2,Bergbau- und Hüttentechniker
650,3118,Arbeiter*innen & Angestellte,0,0,0.0,112290,4,2,Technische Zeichner
655,3119,Arbeiter*innen & Angestellte,0,0,0.0,324080,4,2,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt"
660,3121,Arbeiter*innen & Angestellte,0,0,0.0,3340,4,2,Produktionsleiter im Bergbau
665,3122,Arbeiter*innen & Angestellte,0,0,0.0,314540,4,2,Produktionsleiter bei der Herstellung von Waren
670,3123,Arbeiter*innen & Angestellte,0,0,0.0,135780,4,2,Bauleiter
675,3131,Arbeiter*innen & Angestellte,0,0,0.0,26510,4,2,Steuerer von Energieerzeugungsanlagen
680,3132,Arbeiter*innen & Angestellte,0,0,0.0,27780,4,2,Steuerer von Verbrennungs- und Wasserbehandlungsanlagen
685,3133,Arbeiter*innen & Angestellte,0,0,0.0,920,4,2,Steuerer von chemischen Verfahrensanlagen
690,3134,Arbeiter*innen & Angestellte,0,0,0.0,720,4,2,Steurer von Erdöl- und Erdgasraffinationsanlagen
695,3135,Arbeiter*innen & Angestellte,0,0,0.0,1980,4,2,Steuerer von Verfahren in der Metallerzeugung
700,3139,Arbeiter*innen & Angestellte,0,0,0.0,960,4,2,"Techniker in der Prozesssteuerung, anderweitig nicht genannt"
705,3141,Arbeiter*innen & Angestellte,0,0,0.0,45700,4,2,Biotechniker (ohne medizinische Fachberufe)
710,3142,Arbeiter*innen & Angestellte,0,0,0.0,19360,4,2,Agrartechniker
715,3143,Arbeiter*innen & Angestellte,0,0,0.0,15680,4,2,Forsttechniker
720,3151,Arbeiter*innen & Angestellte,0,0,0.0,3860,4,2,Technische Schiffsoffiziere
725,3152,Arbeiter*innen & Angestellte,0,0,0.0,12340,4,2,"Schiffsführer, nautische Schiffsoffiziere und Schiffslotsen"
730,3153,Arbeiter*innen & Angestellte,0,0,0.0,14600,4,2,Flugzeugführer und verwandte Berufe
735,3154,Arbeiter*innen & Angestellte,0,0,0.0,5100,4,2,Flugverkehrslotsen
740,3155,Arbeiter*innen & Angestellte,0,0,0.0,710,4,2,Flugsicherungstechniker
745,3211,Arbeiter*innen & Angestellte,0,0,0.0,35620,4,2,Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte
750,3212,Arbeiter*innen & Angestellte,0,0,0.0,49610,4,2,Medizintechniker im Bereich Labor und Pathologie
755,3213,Arbeiter*innen & Angestellte,0,0,0.0,86270,4,2,Pharmazeutisch-technische Assistenten
760,3214,Arbeiter*innen & Angestellte,0,0,0.0,74810,4,2,Medizinische und zahnmedizinische Prothetiktechniker
765,3221,Arbeiter*innen & Angestellte,0,0,0.0,1187820,4,2,Nicht akademische Krankenpflegefachkräfte
770,3222,Arbeiter*innen & Angestellte,0,0,0.0,1120,4,2,Nicht akademische Geburtshilfefachkräfte
775,3230,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Nicht akademische Fachkräfte in traditioneller und komplementärer Medizin
780,3240,Arbeiter*innen & Angestellte,0,0,0.0,7910,4,2,Veterinärmedizinische Fachkräfte und Assistenten
785,3251,Arbeiter*innen & Angestellte,0,0,0.0,203640,4,2,Zahnmedizinische Assistenten und Dentalhygieniker
790,3252,Arbeiter*innen & Angestellte,0,0,0.0,13040,4,2,Fachkräfte im Bereich medizinische Dokumentation und Information
795,3253,Arbeiter*innen & Angestellte,0,0,0.0,6780,4,2,Fachkräfte in der öffentlichen Gesundheitsfürsorge
800,3254,Arbeiter*innen & Angestellte,0,0,0.0,48480,4,2,Augenoptiker
805,3255,Arbeiter*innen & Angestellte,0,0,0.0,23120,4,2,Physiotherapeutische Techniker und Assistenten
810,3256,Arbeiter*innen & Angestellte,0,0,0.0,514680,4,2,Medizinische Assistenten
815,3257,Arbeiter*innen & Angestellte,0,0,0.0,96850,4,2,Nicht akademische Kontrolleure und Beauftragte in den Bereichen Umwelt- und Arbeitsmedizin sowie verwandte Berufe
820,3258,Arbeiter*innen & Angestellte,0,0,0.0,80000,4,2,Rettungsdienstpersonal
825,3259,Arbeiter*innen & Angestellte,0,0,0.0,7190,4,2,"Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt"
830,3311,Arbeiter*innen & Angestellte,0,0,0.0,38150,4,2,"Wertpapierhändler, -makler und Finanzmakler"
835,3312,Arbeiter*innen & Angestellte,0,0,0.0,69170,4,2,Kreditsachbearbeiter
840,3313,Arbeiter*innen & Angestellte,0,0,0.0,416590,4,2,Nicht akademische Fachkräfte im Rechnungswesen
845,3314,Arbeiter*innen & Angestellte,0,0,0.0,710,4,2,"Nicht akademische statistische, mathematische und verwandte Fachkräfte"
850,3315,Arbeiter*innen & Angestellte,0,0,0.0,4920,4,2,Schätzer und Schadensgutachter
855,3321,Arbeiter*innen & Angestellte,0,0,0.0,130690,4,2,Versicherungsvertreter
860,3322,Arbeiter*innen & Angestellte,0,0,0.0,443600,4,2,Vertriebsagenten
865,3323,Arbeiter*innen & Angestellte,0,0,0.0,125930,4,2,Einkäufer
870,3324,Arbeiter*innen & Angestellte,0,0,0.0,2580,4,2,Handelsmakler
875,3331,Arbeiter*innen & Angestellte,0,0,0.0,47290,4,2,Fachkräfte für Abrechnungs- und Speditionsdienstleistungen
