,isco_08_key,fraktion,Berufsgattung(ISCO-Stufe 4),Anzahl,median_brutto_group_mean
96,2633.0,Hochspezialisierte Beschäftigte,"Philosophen, Historiker und Politologen",8330.0,5578.333333333333
97,2634.0,Klassisch selbständige Tätigkeit,Psychologen,124500.0,4792.0
98,2635.0,Hochspezialisierte Beschäftigte,Sozialarbeiter,412680.0,4187.0
99,2636.0,Hochspezialisierte Beschäftigte,"Geistliche, Seelsorger",46150.0,5840.0
100,2641.0,Klassisch selbständige Tätigkeit,Autoren und verwandte schriftstellerische Berufe,48790.0,3951.0
101,2642.0,Klassisch selbständige Tätigkeit,Journalisten,123420.0,6723.0
102,2643.0,Klassisch selbständige Tätigkeit,"Übersetzer, Dolmetscher und andere Linguisten",40510.0,4133.5
103,2651.0,Klassisch selbständige Tätigkeit,Bildende Künstler,29350.0,3727.75
104,2652.0,Klassisch selbständige Tätigkeit,"Musiker, Sänger und Komponisten",65070.0,4484.6
105,2653.0,Klassisch selbständige Tätigkeit,Tänzer und Choreografen,3800.0,5410.0
106,2654.0,Klassisch selbständige Tätigkeit,Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen,35390.0,4928.8
107,2655.0,Klassisch selbständige Tätigkeit,Schauspieler,13390.0,3246.0
108,2656.0,Hochspezialisierte Beschäftigte,"Sprecher im Rundfunk, Fernsehen und sonstigen Medien",3890.0,4096.0
109,2659.0,Klassisch selbständige Tätigkeit,"Bildende und darstellende Künstler, anderweitig nicht genannt",7950.0,5094.0
110,3111.0,Hochspezialisierte Beschäftigte,Chemo- und Physikotechniker,86220.0,4248.363636363636
111,3112.0,Hochspezialisierte Beschäftigte,Bautechniker,175530.0,4410.0
112,3113.0,Hochspezialisierte Beschäftigte,Elektrotechniker,82210.0,4020.6
113,3114.0,Hochspezialisierte Beschäftigte,Techniker im Bereich Elektronik,119890.0,4826.0
114,3115.0,Hochspezialisierte Beschäftigte,Maschinenbautechniker,213710.0,4494.421052631579
115,3116.0,Hochspezialisierte Beschäftigte,Chemiebetriebs- und Verfahrenstechniker,32000.0,4577.1
116,3117.0,Hochspezialisierte Beschäftigte,Bergbau- und Hüttentechniker,20290.0,4292.25
117,3118.0,Hochspezialisierte Beschäftigte,Technische Zeichner,116180.0,4045.75
