"","X","ISCO.Code","Stellung.im.Beruf","is_supervisor","self_employed","n_employees","Anzahl","control_work","control_daily","Bezeichnung","isco88","isco88com","simple_wright","power_wright","oesch8","egp7","siops"
"44",215,"2145","Arbeiter*innen & Angestellte",0,0,0,42190,4,2,"Chemieingenieure","2146","2146","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","66.00"
"45",220,"2146","Arbeiter*innen & Angestellte",0,0,0,18050,4,2,"Bergbauingenieure, Metallurgen und verwandte Berufe","2147","2147","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","61.16"
"46",225,"2149","Arbeiter*innen & Angestellte",0,0,0,159560,4,2,"Ingenieure, anderweitig nicht genannt","2149","2149","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","55.00"
"47",230,"2151","Arbeiter*innen & Angestellte",0,0,0,70350,4,2,"Ingenieure im Bereich Elektrotechnik","2143","2143","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","65.00"
"48",235,"2152","Arbeiter*innen & Angestellte",0,0,0,65320,4,2,"Ingenieure im Bereich Elektronik","2144","2144","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","65.00"
"49",240,"2153","Arbeiter*innen & Angestellte",0,0,0,8340,4,2,"Ingenieure im Bereich Telekommunikationstechnik","2144","2144","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","65.00"
"50",245,"2161","Arbeiter*innen & Angestellte",0,0,0,99020,4,2,"Architekten","2141","2141","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","63.19"
"51",250,"2162","Arbeiter*innen & Angestellte",0,0,0,13250,4,2,"Landschaftsarchitekten","2141","2141","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","63.19"
"52",255,"2163","Arbeiter*innen & Angestellte",0,0,0,40710,4,2,"Produkt- und Textildesigner","3471","3471","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","63.19"
"53",260,"2164","Arbeiter*innen & Angestellte",0,0,0,29990,4,2,"Raum-, Stadt- und Verkehrsplaner","2141","2141","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","63.19"
