,ISCO-Code,Berufsgattung(ISCO-Stufe 4),Anzahl,percent,fraktion,major_group
100,2519,"Entwickler und Analytiker von Software und Anwendungen, anderweitig nicht genannt",54000,0.1315678872024647,Hochspezialisierte Beschäftigte,Akademische Berufe
101,2521,Datenbankentwickler und -administratoren,11650,0.028384553442753962,Hochspezialisierte Beschäftigte,Akademische Berufe
102,2522,Systemadministratoren,104070,0.25356055594741667,Hochspezialisierte Beschäftigte,Akademische Berufe
103,2523,Akademische und vergleichbare Fachkräfte für Computernetzwerke,8820,0.02148942157640257,Hochspezialisierte Beschäftigte,Akademische Berufe
104,2529,"Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt",6250,0.01522776472250749,Hochspezialisierte Beschäftigte,Akademische Berufe
105,2611,Anwälte,149650,0.36461359851571934,Hochspezialisierte Beschäftigte,Akademische Berufe
106,2612,Richter,26450,0.0644439003056517,Hochspezialisierte Beschäftigte,Akademische Berufe
107,2619,"Juristen, anderweitig nicht genannt",107430,0.26174700226223674,Hochspezialisierte Beschäftigte,Akademische Berufe
108,2621,Archiv- und Museumswissenschaftler,19280,0.0469746086159911,Hochspezialisierte Beschäftigte,Akademische Berufe
109,2622,Bibliothekswissenschaftler und verwandte Informationswissenschaftler,16550,0.04032312098519983,Hochspezialisierte Beschäftigte,Akademische Berufe
110,2631,Volkswirtschaftler,15530,0.03783794978248661,Hochspezialisierte Beschäftigte,Akademische Berufe
111,2632,"Soziologen, Anthropologen und verwandte Wissenschaftler",21440,0.05223732410408969,Hochspezialisierte Beschäftigte,Akademische Berufe
112,2633,"Philosophen, Historiker und Politologen",8330,0.020295564822157983,Hochspezialisierte Beschäftigte,Akademische Berufe
113,2634,Psychologen,124500,0.30333707327234916,Hochspezialisierte Beschäftigte,Akademische Berufe
114,2635,Sozialarbeiter,412680,1.0054710313095025,Hochspezialisierte Beschäftigte,Akademische Berufe
115,2636,"Geistliche, Seelsorger",46150,0.11244181471099529,Hochspezialisierte Beschäftigte,Akademische Berufe
116,2641,Autoren und verwandte schriftstellerische Berufe,48790,0.11887402252978246,Hochspezialisierte Beschäftigte,Akademische Berufe
117,2642,Journalisten,123420,0.3007057155282999,Hochspezialisierte Beschäftigte,Akademische Berufe
118,2643,"Übersetzer, Dolmetscher und andere Linguisten",40510,0.09870027982540454,Hochspezialisierte Beschäftigte,Akademische Berufe
119,2651,Bildende Künstler,29350,0.07150958313689516,Hochspezialisierte Beschäftigte,Akademische Berufe
120,2652,"Musiker, Sänger und Komponisten",65070,0.15853930407897,Hochspezialisierte Beschäftigte,Akademische Berufe
121,2653,Tänzer und Choreografen,3800,0.009258480951284552,Hochspezialisierte Beschäftigte,Akademische Berufe
122,2654,Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen,35390,0.0862256949647264,Hochspezialisierte Beschäftigte,Akademische Berufe
123,2655,Schauspieler,13390,0.03262396314150005,Hochspezialisierte Beschäftigte,Akademische Berufe
124,2656,"Sprecher im Rundfunk, Fernsehen und sonstigen Medien",3890,0.009477760763288661,Hochspezialisierte Beschäftigte,Akademische Berufe
125,2659,"Bildende und darstellende Künstler, anderweitig nicht genannt",7950,0.019369716727029525,Hochspezialisierte Beschäftigte,Akademische Berufe
126,3111,Chemo- und Physikotechniker,86220,0.21007005989993532,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
127,3112,Bautechniker,175530,0.42766872667867833,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
128,3113,Elektrotechniker,82210,0.20029992605397454,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
129,3114,Techniker im Bereich Elektronik,119890,0.29210507401302765,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
130,3115,Maschinenbautechniker,213710,0.5206920958155321,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
131,3116,Chemiebetriebs- und Verfahrenstechniker,32000,0.07796615537923834,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
132,3117,Bergbau- und Hüttentechniker,20290,0.049435415395148306,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
133,3118,Technische Zeichner,116180,0.2830658728737472,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
134,3119,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt",336150,0.8190100978353428,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
135,3121,Produktionsleiter im Bergbau,3410,0.008308268432600085,Anleitender Beschäftigter,Techniker und gleichrangige nichttechnische Berufe
136,3122,Produktionsleiter bei der Herstellung von Waren,391890,0.9548173947365535,Anleitender Beschäftigter,Techniker und gleichrangige nichttechnische Berufe
137,3123,Bauleiter,204180,0.4974728001666527,Anleitender Beschäftigter,Techniker und gleichrangige nichttechnische Berufe
138,3131,Steuerer von Energieerzeugungsanlagen,32120,0.07825852846191049,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
139,3132,Steuerer von Verbrennungs- und Wasserbehandlungsanlagen,28590,0.06965788694663826,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
140,3133,Steuerer von chemischen Verfahrensanlagen,920,0.0022415269671531026,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
141,3134,Steurer von Erdöl- und Erdgasraffinationsanlagen,750,0.0018273317667008987,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
142,3135,Steuerer von Verfahren in der Metallerzeugung,2060,0.005019071252538468,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
143,3139,"Techniker in der Prozesssteuerung, anderweitig nicht genannt",980,0.0023877135084891745,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
144,3141,Biotechniker (ohne medizinische Fachberufe),46240,0.1126610945229994,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
145,3142,Agrartechniker,22660,0.05520978377792315,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
146,3143,Forsttechniker,17080,0.04161443543366846,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
147,3151,Technische Schiffsoffiziere,3890,0.009477760763288661,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
148,3152,"Schiffsführer, nautische Schiffsoffiziere und Schiffslotsen",14100,0.03435383721397689,Anleitender Beschäftigter,Techniker und gleichrangige nichttechnische Berufe
149,3153,Flugzeugführer und verwandte Berufe,15520,0.0378135853589306,Anleitender Beschäftigter,Techniker und gleichrangige nichttechnische Berufe
150,3154,Flugverkehrslotsen,5110,0.012450220437122123,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
151,3155,Flugsicherungstechniker,800,0.0019491538844809587,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
152,3211,Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte,35760,0.08712717863629885,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
153,3212,Medizintechniker im Bereich Labor und Pathologie,50000,0.12182211778005991,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
154,3213,Pharmazeutisch-technische Assistenten,86530,0.2108253570301717,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
155,3214,Medizinische und zahnmedizinische Prothetiktechniker,79400,0.19345352303473515,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
156,3221,Nicht akademische Krankenpflegefachkräfte,1197330,2.9172255256319826,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
157,3222,Nicht akademische Geburtshilfefachkräfte,1590,0.003873943345405905,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
158,3230,Nicht akademische Fachkräfte in traditioneller und komplementärer Medizin,1030,0.002509535626269234,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
159,3240,Veterinärmedizinische Fachkräfte und Assistenten,8230,0.02005192058659786,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
160,3251,Zahnmedizinische Assistenten und Dentalhygieniker,204600,0.4984961059560052,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
161,3252,Fachkräfte im Bereich medizinische Dokumentation und Information,13150,0.032039216976155756,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
162,3253,Fachkräfte in der öffentlichen Gesundheitsfürsorge,7380,0.01798094458433684,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
163,3254,Augenoptiker,54510,0.1328104728038213,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
164,3255,Physiotherapeutische Techniker und Assistenten,43930,0.10703291268156065,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
165,3256,Medizinische Assistenten,516790,1.2591290449511434,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
166,3257,Nicht akademische Kontrolleure und Beauftragte in den Bereichen Umwelt- und Arbeitsmedizin sowie verwandte Berufe,100670,0.24527665193837264,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
167,3258,Rettungsdienstpersonal,80700,0.19662089809701672,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
168,3259,"Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt",14370,0.03501167664998922,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
169,3311,"Wertpapierhändler, -makler und Finanzmakler",48370,0.11785071674042995,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
170,3312,Kreditsachbearbeiter,73420,0.17888359774823998,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
171,3313,Nicht akademische Fachkräfte im Rechnungswesen,431830,1.0521289024192655,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
172,3314,"Nicht akademische statistische, mathematische und verwandte Fachkräfte",870,0.0021197048493730424,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
173,3315,Schätzer und Schadensgutachter,8240,0.020076285010153874,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
174,3321,Versicherungsvertreter,181570,0.44238483850650956,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
175,3322,Vertriebsagenten,497880,1.2130559200067246,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
176,3323,Einkäufer,127150,0.30979364551469235,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
177,3324,Handelsmakler,4020,0.009794498269516817,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
178,3331,Fachkräfte für Abrechnungs- und Speditionsdienstleistungen,52360,0.12757212173927873,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
179,3332,Konferenz- und Veranstaltungsplaner,58100,0.1415573008604296,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
180,3333,Arbeits- und Personalvermittler,59070,0.14392064994536277,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
181,3334,Immobilienmakler und -verwalter,214640,0.5229579872062412,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
182,3339,"Fachkräfte für unternehmensbezogene Dienstleistungen, anderweitig nicht genannt",21100,0.051408933703185285,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
183,3341,Sekretariatsleiter,478400,1.1655940229196133,Anleitender Beschäftigter,Techniker und gleichrangige nichttechnische Berufe
184,3342,Sekretariatsfachkräfte im juristischen Bereich,135090,0.32913899781816586,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
185,3343,Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung,362980,0.8843798462361229,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
186,3344,Sekretariatsfachkräfte im Gesundheitswesen,170640,0.4157545235597884,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
187,3351,Fachkräfte im Zolldienst und Grenzschutz,44600,0.10866532905981345,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
188,3352,Fachkräfte in der Steuerverwaltung,87810,0.2139440032453412,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
189,3353,Fachkräfte in Sozialverwaltung und -versicherung,159210,0.3879059874352668,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
190,3354,"Fachkräfte bei staatlichen Pass-, Lizenz- und Genehmigungsstellen",4890,0.01191420311888986,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
191,3355,Polizeikommissare und Kriminalbeamte,80410,0.19591432981389237,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
192,3359,"Fachkräfte in der öffentlichen Verwaltung, anderweitig nicht genannt",17710,0.04314939411769722,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
193,3411,Nicht akademische Fachkräfte für Rechts- und verwandte Angelegenheiten,68760,0.1675297763711384,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
194,3412,Nicht akademische sozialpflegerische Fachkräfte,249400,0.6076487234869388,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
195,3413,Ordensbrüder/-schwestern und Seelsorgehelfer,5740,0.013985179121150878,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
196,3421,Athleten und Berufssportler,10370,0.025265907227584424,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
197,3422,"Sportlehrer, Sporttrainer und Sportfunktionäre",65790,0.16029354257500283,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
198,3423,Trainer und Betreuer im Bereich Fitness und Erholung,92230,0.2247130784570985,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
199,3431,Fotografen,37440,0.09122040179370887,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
200,3432,Raumgestalter und Dekorateure,38500,0.09380303069064613,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
201,3433,"Fachkräfte in Kunstgalerien, Museen und Bibliotheken",12570,0.030626080409907063,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
202,3434,Küchenchefs,35060,0.08542166898737802,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
203,3435,Sonstige Fachkräfte in Gestaltung und Kultur,59060,0.14389628552180675,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
204,3511,Techniker für den Betrieb von Informations- und Kommunikationstechnologie,9920,0.02416950816756389,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
205,3512,Techniker für die Anwenderbetreuung in der Informations- und Kommunikationstechnologie,152880,0.3724833073243112,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
206,3513,Techniker für Computernetzwerke und -systeme,94800,0.23097473531099358,Hochspezialisierte Beschäftigte,Techniker und gleichrangige nichttechnische Berufe
